(184193, 470)
(77039, 471)
(105595, 471)
(151272, 471)
(77040, 472)
(105596, 472)
(151273, 472)
(115508, 886)
(115509, 887)
(149737, 887)
(42525, 888)
(115510, 888)
(149738, 888)
(115511, 889)
(62461, 1008)
(62462, 1009)
(5171, 1171)
(138246, 1171)
(5170, 1172)
(5169, 1173)
(136311, 1383)
(37403, 1384)
(136310, 1384)
(37402, 1385)
(3194, 1444)
(57098, 2298)
(75990, 2651)
(105990, 2651)
(156473, 2651)
(111235, 2744)
(114075, 3071)
(169804, 3071)
(175701, 3071)
(169803, 3072)
(175700, 3072)
(175699, 3073)
(58718, 3093)
(6168, 3094)
(58719, 3094)
(106819, 3094)
(58720, 3095)
(6979, 3510)
(6978, 3511)
(105702, 3511)
(6977, 3512)
(29914, 3559)
(78949, 3559)
(29913, 3560)
(78948, 3560)
(136709, 3560)
(35351, 3589)
(93857, 3589)
(138005, 3589)
(53731, 4508)
(71942, 4508)
(147738, 4508)
(76228, 4643)
(132622, 4643)
(174653, 4643)
(132621, 4644)
(174652, 4644)
(74922, 4842)
(74921, 4843)
(74920, 4844)
(166585, 4844)
(64982, 5103)
(156472, 5216)
(75990, 5217)
(105990, 5217)
(156473, 5217)
(11305, 5392)
(91917, 5392)
(190395, 5392)
(11304, 5393)
(190394, 5393)
(134789, 5465)
(39217, 5466)
(134788, 5466)
(35351, 5608)
(93857, 5608)
(138005, 5608)
(35352, 5609)
(93858, 5609)
(35353, 5610)
(42525, 6459)
(115510, 6459)
(149738, 6459)
(115511, 6460)
(122498, 6739)
(122544, 6739)
(122499, 6740)
(122545, 6740)
(146564, 6740)
(122500, 6741)
(146944, 6813)
(2400, 6814)
(146943, 6814)
(199931, 6814)
(2399, 6815)
(53917, 6841)
(158937, 6841)
(158938, 6842)
(11472, 6950)
(132982, 6950)
(21459, 6971)
(115507, 7414)
(115508, 7415)
(115509, 7416)
(149737, 7416)
(42525, 7417)
(115510, 7417)
(149738, 7417)
(115511, 7418)
(133477, 7735)
(63731, 7736)
(133476, 7736)
(133475, 7737)
(133474, 7738)
(133473, 7739)
(88553, 7829)
(146997, 7829)
(170043, 7829)
(88553, 8049)
(146997, 8049)
(170043, 8049)
(22885, 8123)
(105859, 8123)
(22886, 8124)
(5171, 8151)
(138246, 8151)
(138247, 8152)
(11305, 8359)
(91917, 8359)
(190395, 8359)
(6168, 8425)
(58719, 8425)
(106819, 8425)
(6167, 8426)
(176280, 8484)
(176281, 8485)
(176282, 8486)
(176283, 8487)
(7391, 8572)
(117698, 8788)
(138551, 8788)
(74920, 8843)
(166585, 8843)
(166584, 8844)
(166583, 8845)
(128333, 8897)
(128334, 8898)
(193621, 8898)
(104869, 8899)
(128335, 8899)
(193622, 8899)
(193623, 8900)
(77039, 9127)
(105595, 9127)
(151272, 9127)
(151271, 9128)
(88553, 9268)
(146997, 9268)
(170043, 9268)
(88554, 9269)
(23710, 9318)
(126274, 9318)
(126275, 9319)
(72219, 9592)
(112007, 9592)
(127756, 9592)
(50779, 10616)
(80187, 10616)
(72219, 10764)
(112007, 10764)
(127756, 10764)
(78589, 10809)
(129659, 10809)
(184985, 10809)
(129660, 10810)
(50779, 10835)
(80187, 10835)
(9249, 11218)
(74950, 11218)
(74949, 11219)
(11305, 11405)
(91917, 11405)
(190395, 11405)
(11306, 11406)
(35352, 11477)
(93858, 11477)
(35351, 11478)
(93857, 11478)
(138005, 11478)
(114075, 11844)
(169804, 11844)
(175701, 11844)
(169803, 11845)
(175700, 11845)
(22885, 12055)
(105859, 12055)
(22884, 12056)
(105858, 12056)
(26223, 12076)
(44297, 12076)
(106263, 12076)
(117698, 12109)
(138551, 12109)
(146940, 12245)
(199928, 12245)
(146941, 12246)
(199929, 12246)
(146942, 12247)
(199930, 12247)
(2400, 12248)
(146943, 12248)
(199931, 12248)
(146944, 12249)
(24506, 12459)
(78589, 12645)
(129659, 12645)
(184985, 12645)
(78588, 12646)
(184984, 12646)
(78587, 12647)
(76227, 12891)
(76228, 12892)
(132622, 12892)
(174653, 12892)
(175698, 13001)
(175699, 13002)
(169803, 13003)
(175700, 13003)
(114075, 13004)
(169804, 13004)
(175701, 13004)
(114076, 13005)
(169805, 13005)
(175702, 13005)
(175703, 13006)
(175704, 13007)
(29913, 13242)
(78948, 13242)
(136709, 13242)
(29912, 13243)
(78947, 13243)
